nama jamu;resep
Jamu beras kencur;beras,air,kencur,jahe,kunyit,gula Jawa,gula pasir 
Jamu kunyit asam sinom;air,asam Jawa,kunyit,gula Jawa,gula pasir 
Jamu kunyit asam sirih;kunyit,daun sirih,asam jawa,gula Jawa,kayu manis ,jeruk nipis,jahe,air 
Jamu kunyit asam;kunyit,gula Jawa,gula pasir,asam jawa,air 
Jamu kunyit asam majakani;kunyit,kencur,majakani,asam jawa,gula Jawa,garam,air 
Jamu kunyit kencur;kencur,kunyit,gula Jawa,jeruk nipis,air,garam  
Jamu sirih kunci;temu kunci,kunyit,daun sirih,asam Jawa,gula pasir,garam,air 
Jamu sirih manjakani;rempah -rempah ,daun sirih,manjakani, kunyit,gula pasir,garam,air 
Jamu temulawak gula Jawa;temulawak,kencur,asam Jawa,air ,gula jawa,daun pandan,jinten 
Jamu temulawak;temulawak,gula Jawa,air 
Jamu sinom;kunyit,temulawak,asam Jawa,kapulaga,daun sinom,kayu manis,gula Jawa,gula pasir,air 
Jamu sinom kunir asem;daun sinom,asam Jawa,kayu secang,kunyit,kayu manis,jahe,serai 
Jamu sinom asem;daun sinom,asam Jawa,garam,gula pasir,air,kunyit,gula Jawa  
Jamu lempuyang;lempuyang,kunyit,kayu manis,gula pasir,gula Jawa,air,asam Jawa 
Jamu anti virus;jahe,kunyit,madu,jeruk nipis,air 
Jamu untuk mag;temulawak,kunyit,air 
Jamu rapat kewanitaan;beras,kencur,jahe,kunyit,jeruk nipis,asam Jawa,gula Jawa,serut,garam  
Jamu pembersih usus;adas,pekak,asam Jawa,air,jahe,kunyit,lada hitam 
Jamu diet;jahe,serai,kayu manis,air 
Jamu herbal mix;kunyit,jahe,daun sirih,serai,air 
Jamu macan kerah;air,bunga kantil,bunga kenanga,bunga mawar,jahe,kunyit,asam Jawa,gula Jawa,gula pasir,kayu manis 
Jamu sehat;jahe,temulawak,kunyit,kencur,asam Jawa,gula Jawa,air 
Jamu jahe kunyit;jahe,kunyit,gula Jawa,gula pasir,garam,air 
